,Date,Value,ValueNew
437,2017-08-12,,40.714285714285715
438,2017-08-13,,40.857142857142854
439,2017-08-14,41.0,41.0
440,2017-08-15,,40.42857142857143
441,2017-08-16,,39.857142857142854
442,2017-08-17,,39.285714285714285
443,2017-08-18,,38.714285714285715
444,2017-08-19,,38.142857142857146
445,2017-08-20,,37.57142857142857
446,2017-08-21,37.0,37.0
447,2017-08-22,,36.857142857142854
448,2017-08-23,,36.714285714285715
449,2017-08-24,,36.57142857142857
450,2017-08-25,,36.42857142857143
451,2017-08-26,,36.285714285714285
452,2017-08-27,,36.142857142857146
453,2017-08-28,36.0,36.0
454,2017-08-29,,35.285714285714285
455,2017-08-30,,34.57142857142857
456,2017-08-31,,33.857142857142854
457,2017-09-01,,33.142857142857146
458,2017-09-02,,32.42857142857143
459,2017-09-03,,31.714285714285715
460,2017-09-04,31.0,31.0
461,2017-09-05,,31.428571428571427
462,2017-09-06,,31.857142857142858
463,2017-09-07,,32.285714285714285
464,2017-09-08,,32.714285714285715
465,2017-09-09,,33.142857142857146
466,2017-09-10,,33.57142857142857
467,2017-09-11,34.0,34.0
468,2017-09-12,,33.857142857142854
469,2017-09-13,,33.714285714285715
470,2017-09-14,,33.57142857142857
471,2017-09-15,,33.42857142857143
472,2017-09-16,,33.285714285714285
473,2017-09-17,,33.142857142857146
474,2017-09-18,33.0,33.0
475,2017-09-19,,33.57142857142857
476,2017-09-20,,34.142857142857146
477,2017-09-21,,34.714285714285715
478,2017-09-22,,35.285714285714285
479,2017-09-23,,35.857142857142854
480,2017-09-24,,36.42857142857143
481,2017-09-25,37.0,37.0
482,2017-09-26,,36.857142857142854
483,2017-09-27,,36.714285714285715
484,2017-09-28,,36.57142857142857
485,2017-09-29,,36.42857142857143
486,2017-09-30,,36.285714285714285
487,2017-10-01,,36.142857142857146
488,2017-10-02,36.0,36.0
489,2017-10-03,,35.285714285714285
490,2017-10-04,,34.57142857142857
491,2017-10-05,,33.857142857142854
492,2017-10-06,,33.142857142857146
493,2017-10-07,,32.42857142857143
494,2017-10-08,,31.714285714285715
495,2017-10-09,31.0,31.0
496,2017-10-10,36.0,36.0
497,2017-10-11,,35.46153846153846
498,2017-10-12,,34.92307692307692
499,2017-10-13,,34.38461538461539
500,2017-10-14,,33.84615384615385
501,2017-10-15,,33.30769230769231
502,2017-10-16,,32.76923076923077
503,2017-10-17,,32.23076923076923
504,2017-10-18,,31.692307692307693
505,2017-10-19,,31.153846153846153
506,2017-10-20,,30.615384615384617
507,2017-10-21,,30.076923076923077
508,2017-10-22,,29.53846153846154
509,2017-10-23,29.0,29.0
510,2017-10-24,,29.142857142857142
511,2017-10-25,,29.285714285714285
512,2017-10-26,,29.428571428571427
513,2017-10-27,,29.571428571428573
514,2017-10-28,,29.714285714285715
515,2017-10-29,,29.857142857142858
516,2017-10-30,30.0,30.0
517,2017-10-31,,29.7
518,2017-11-01,,29.4
519,2017-11-02,,29.1
520,2017-11-03,,28.8
521,2017-11-04,,28.5
522,2017-11-05,,28.2
523,2017-11-06,,27.9
524,2017-11-07,,27.6
525,2017-11-08,,27.3
526,2017-11-09,27.0,27.0
527,2017-11-10,,26.714285714285715
528,2017-11-11,,26.428571428571427
529,2017-11-12,,26.142857142857142
530,2017-11-13,,25.857142857142858
531,2017-11-14,,25.571428571428573
532,2017-11-15,,25.285714285714285
533,2017-11-16,25.0,25.0
534,2017-11-17,,25.857142857142858
535,2017-11-18,,26.714285714285715
536,2017-11-19,,27.57142857142857
537,2017-11-20,,28.428571428571427
538,2017-11-21,,29.285714285714285
539,2017-11-22,,30.142857142857142
540,2017-11-23,31.0,31.0
541,2017-11-24,,30.09090909090909
542,2017-11-25,,29.181818181818183
543,2017-11-26,,28.272727272727273
544,2017-11-27,,27.363636363636363
545,2017-11-28,,26.454545454545453
546,2017-11-29,,25.545454545454547
547,2017-11-30,,24.636363636363637
548,2017-12-01,,23.727272727272727
549,2017-12-02,,22.81818181818182
550,2017-12-03,,21.90909090909091
551,2017-12-04,21.0,21.0
552,2017-12-05,,21.3
553,2017-12-06,,21.6
554,2017-12-07,,21.9
555,2017-12-08,,22.2
556,2017-12-09,,22.5
557,2017-12-10,,22.8
558,2017-12-11,,23.1
559,2017-12-12,,23.4
560,2017-12-13,,23.7
561,2017-12-14,24.0,24.0
562,2017-12-15,,23.714285714285715
563,2017-12-16,,23.428571428571427
564,2017-12-17,,23.142857142857142
565,2017-12-18,,22.857142857142858
566,2017-12-19,,22.571428571428573
567,2017-12-20,,22.285714285714285
568,2017-12-21,22.0,22.0
569,2017-12-22,,22.071428571428573
570,2017-12-23,,22.142857142857142
571,2017-12-24,,22.214285714285715
572,2017-12-25,,22.285714285714285
573,2017-12-26,,22.357142857142858
574,2017-12-27,,22.428571428571427
575,2017-12-28,,22.5
576,2017-12-29,,22.571428571428573
577,2017-12-30,,22.642857142857142
578,2017-12-31,,22.714285714285715
579,2018-01-01,,22.785714285714285
580,2018-01-02,,22.857142857142858
581,2018-01-03,,22.928571428571427
582,2018-01-04,23.0,23.0
583,2018-01-05,,23.142857142857142
584,2018-01-06,,23.285714285714285
585,2018-01-07,,23.428571428571427
586,2018-01-08,,23.571428571428573
587,2018-01-09,,23.714285714285715
588,2018-01-10,,23.857142857142858
589,2018-01-11,24.0,24.0
590,2018-01-12,,23.142857142857142
591,2018-01-13,,22.285714285714285
592,2018-01-14,,21.42857142857143
593,2018-01-15,,20.571428571428573
594,2018-01-16,,19.714285714285715
595,2018-01-17,,18.857142857142858
596,2018-01-18,18.0,18.0
597,2018-01-19,,17.714285714285715
598,2018-01-20,,17.428571428571427
599,2018-01-21,,17.142857142857142
600,2018-01-22,,16.857142857142858
601,2018-01-23,,16.571428571428573
602,2018-01-24,,16.285714285714285
603,2018-01-25,16.0,16.0
604,2018-01-26,,16.363636363636363
605,2018-01-27,,16.727272727272727
606,2018-01-28,,17.09090909090909
607,2018-01-29,,17.454545454545453
608,2018-01-30,,17.81818181818182
609,2018-01-31,,18.18181818181818
610,2018-02-01,,18.545454545454547
611,2018-02-02,,18.90909090909091
